,location,size,total_sqft,bath,price,bhk,price_per_sqft
0,8th Phase JP Nagar,2 BHK,1073.5,2.0,54.005,2,5030.740568234746
1,8th Phase JP Nagar,3 BHK,1431.5,3.0,72.02,3,5031.086273140063
2,Balagere,1 BHK,790.5,1.0,42.295,1,5350.411132194813
3,Banashankari Stage VI,2 BHK,1177.5,2.0,59.935,2,5090.0212314225055
4,Bannerghatta Road,2 BHK,1122.5,2.0,58.935,2,5250.334075723831
5,Bannerghatta Road,2 BHK,1302.5,2.0,67.73,2,5200.0
6,Bannerghatta Road,3 BHK,1532.5,3.0,84.29,3,5500.163132137031
7,Bannerghatta Road,3 BHK,1532.5,3.0,79.465,3,5185.318107667211
8,Bannerghatta Road,2 BHK,1122.5,2.0,61.74,2,5500.22271714922
9,Begur Road,4 BHK,2500.0,6.0,122.5,4,4900.0
10,Bommanahalli,2 BHK,1355.0,2.0,73.17,2,5400.0
11,Budigere,2 BHK,1172.0,2.0,56.725,2,4840.017064846416
12,Budigere,3 BHK,1590.0,3.0,76.16,3,4789.937106918239
13,Budigere,1 BHK,705.0,1.0,34.545,1,4900.0
14,Chandapura,1 BHK,582.5,1.0,15.135,1,2598.283261802575
15,Chandapura,3 BHK,1162.5,2.0,30.215,3,2599.1397849462364
16,Chandapura,2 BHK,778.0,2.0,25.29,2,3250.642673521851
17,Devanahalli,4 Bedroom,3210.0,2.0,192.0,4,5981.308411214954
18,Devanahalli,3 BHK,1630.0,2.0,74.82,3,4590.184049079754
19,Devanahalli,2 BHK,3752.5,2.0,177.115,2,4719.920053297801
20,Devanahalli,1 BHK,698.5,1.0,28.57,1,4090.1932712956336
21,Devanahalli,3 BHK,1700.0,3.0,88.2,3,5188.235294117647
22,Devanahalli,2 BHK,1360.0,2.0,62.425,2,4590.073529411765
23,Devanahalli,1 BHK,1075.0,2.0,52.57,1,4890.232558139535
24,Electronic City Phase II,4 Bedroom,3550.0,2.0,167.5,4,4718.30985915493
25,Electronic City Phase II,4 BHK,2187.5,4.0,105.0,4,4800.0
26,Electronics City Phase 1,3 BHK,1522.5,2.0,60.75,3,3990.1477832512314
27,Electronics City Phase 1,1 BHK,762.5,1.0,45.4,1,5954.098360655737
28,Harlur,2 BHK,1335.0,2.0,72.76,2,5450.187265917603
29,Hebbal,4 BHK,5611.5,4.0,477.0,4,8500.400962309543
30,Hebbal,3 BHK,2661.0,2.0,226.5,3,8511.83765501691
31,Hebbal,4 BHK,2630.0,5.0,188.0,4,7148.28897338403
32,Hebbal,4 BHK,4225.0,6.0,359.0,4,8497.041420118343
33,Hennur,4 BHK,3517.0,2.0,161.5,4,4591.981802672733
34,Hennur,3 BHK,1830.5,3.0,84.205,3,4600.109259765091
35,Hennur Road,2 BHK,1317.5,2.0,63.77,2,4840.2277039848195
36,Hennur Road,3 BHK,1664.0,2.0,93.865,3,5640.9254807692305
37,Hennur Road,3 BHK,1570.0,3.0,75.99,3,4840.127388535031
38,Hoodi,4 BHK,2065.5,4.0,91.915,4,4450.012103606875
39,Hoodi,1 BHK,863.0,1.0,40.55,1,4698.725376593278
40,Hoodi,2 BHK,1258.5,2.0,59.135,2,4698.847834723878
41,Hormavu,3 BHK,1617.5,3.0,73.595,3,4549.922720247295
42,Hormavu,1 BHK,583.0,1.0,28.275,1,4849.91423670669
43,Hosa Road,1 BHK,800.0,1.0,39.99,1,4998.75
44,Hoskote,2 BHK,1730.0,2.0,28.545,2,1650.0
45,JP Nagar,5 BHK,5520.0,2.0,375.0,5,6793.478260869565
46,JP Nagar,4 BHK,4624.5,4.0,314.5,4,6800.735214617796
47,JP Nagar,2 BHK,1352.5,2.0,93.865,2,6940.110905730129
48,JP Nagar,3 BHK,2195.0,2.0,152.0,3,6924.829157175399
49,JP Nagar,3 BHK,3496.5,2.0,237.5,3,6792.506792506792
50,Jakkur,4 BHK,3181.0,2.0,229.0,4,7198.994027035524
51,KR Puram,2 BHK,1277.5,2.0,56.8,2,4446.183953033268
52,KR Puram,3 BHK,1128.76,3.0,47.405,3,4199.741309047096
53,KR Puram,3 BHK,1559.0,3.0,69.315,3,4446.119307248236
54,KR Puram,2 BHK,1192.5,2.0,51.22,2,4295.17819706499
55,KR Puram,3 BHK,1462.5,2.0,62.81,3,4294.7008547008545
56,KR Puram,3 BHK,1583.0,2.0,70.445,3,4450.0947567909025
57,Kanakpura Road,1 BHK,825.0,1.0,36.29,1,4398.787878787879
58,Kanakpura Road,3 BHK,1530.0,2.0,66.4,3,4339.869281045752
59,Kanakpura Road,1 BHK,458.0,1.0,19.695,1,4300.218340611354
60,Kanakpura Road,2 BHK,1155.0,2.0,50.125,2,4339.82683982684
